"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"35.1","2019-10-10"," 9:17:00 AM","2019-10-10"," 9:18:00 AM","CE","11500","Buy","25","0.55","0.45","","-2.50"
"35.2","2019-10-10"," 9:17:00 AM","2019-10-10"," 9:54:00 AM","PE","11100","Buy","25","1.75","1.40","","-8.75"
"35.3","2019-10-10"," 9:17:00 AM","2019-10-10"," 11:35:00 AM","CE","11400","Sell","25","2.95","0.60","","58.75"
"35.4","2019-10-10"," 9:17:00 AM","2019-10-10"," 11:35:00 AM","PE","11200","Sell","25","10.15","18.00","","-196.25"
"36","2019-10-17"," 9:17:00 AM","2019-10-17"," 12:32:00 PM","","","","","","","16.12","103.75"
"36.1","2019-10-17"," 9:17:00 AM","2019-10-17"," 9:18:00 AM","CE","11650","Buy","25","0.30","0.25","","-1.25"
"36.2","2019-10-17"," 9:17:00 AM","2019-10-17"," 9:19:00 AM","PE","11250","Buy","25","0.50","0.40","","-2.50"
"36.3","2019-10-17"," 9:17:00 AM","2019-10-17"," 12:32:00 PM","CE","11550","Sell","25","3.90","1.60","","57.50"
"36.4","2019-10-17"," 9:17:00 AM","2019-10-17"," 12:32:00 PM","PE","11350","Sell","25","2.75","0.75","","50.00"
"37","2019-10-24"," 9:17:00 AM","2019-10-24"," 10:01:00 AM","","","","","","","15.83","-158.75"
"37.1","2019-10-24"," 9:17:00 AM","2019-10-24"," 9:20:00 AM","CE","11850","Buy","25","0.85","0.70","","-3.75"
"37.2","2019-10-24"," 9:17:00 AM","2019-10-24"," 10:01:00 AM","PE","11450","Buy","25","0.65","1.50","","21.25"
"37.3","2019-10-24"," 9:17:00 AM","2019-10-24"," 10:01:00 AM","CE","11750","Sell","25","6.55","2.25","","107.50"
"37.4","2019-10-24"," 9:17:00 AM","2019-10-24"," 10:01:00 AM","PE","11550","Sell","25","3.45","14.80","","-283.75"
"38","2019-10-31"," 9:17:00 AM","2019-10-31"," 12:58:00 PM","","","","","","","16.66","157.50"
"38.1","2019-10-31"," 9:17:00 AM","2019-10-31"," 9:18:00 AM","CE","12100","Buy","25","0.10","0.10","","0.00"
"38.2","2019-10-31"," 9:17:00 AM","2019-10-31"," 9:25:00 AM","PE","11700","Buy","25","0.85","0.70","","-3.75"
"38.3","2019-10-31"," 9:17:00 AM","2019-10-31"," 12:58:00 PM","CE","12000","Sell","25","2.75","2.45","","7.50"
"38.4","2019-10-31"," 9:17:00 AM","2019-10-31"," 12:58:00 PM","PE","11800","Sell","25","7.20","1.05","","153.75"
"39","2019-11-07"," 9:17:00 AM","2019-11-07"," 12:53:00 PM","","","","","","","15.39","168.75"
"39.1","2019-11-07"," 9:17:00 AM","2019-11-07"," 9:18:00 AM","CE","12200","Buy","25","0.35","0.30","","-1.25"
"39.2","2019-11-07"," 9:17:00 AM","2019-11-07"," 9:21:00 AM","PE","11800","Buy","25","0.80","0.65","","-3.75"
"39.3","2019-11-07"," 9:17:00 AM","2019-11-07"," 12:53:00 PM","CE","12100","Sell","25","4.40","0.70","","92.50"
"39.4","2019-11-07"," 9:17:00 AM","2019-11-07"," 12:53:00 PM","PE","11900","Sell","25","6.10","2.85","","81.25"
"40","2019-11-14"," 9:17:00 AM","2019-11-14"," 11:59:00 AM","","","","","","","15.85","102.50"
"40.1","2019-11-14"," 9:17:00 AM","2019-11-14"," 9:18:00 AM","CE","12050","Buy","25","0.25","0.20","","-1.25"
"40.2","2019-11-14"," 9:17:00 AM","2019-11-14"," 9:20:00 AM","PE","11650","Buy","25","0.30","0.25","","-1.25"
"40.3","2019-11-14"," 9:17:00 AM","2019-11-14"," 11:59:00 AM","CE","11950","Sell","25","1.85","1.15","","17.50"
"40.4","2019-11-14"," 9:17:00 AM","2019-11-14"," 11:59:00 AM","PE","11750","Sell","25","4.55","1.05","","87.50"
"41","2019-11-21"," 9:17:00 AM","2019-11-21"," 11:56:00 AM","","","","","","","14.75","155.00"
"41.1","2019-11-21"," 9:17:00 AM","2019-11-21"," 9:20:00 AM","CE","12200","Buy","25","0.20","0.15","","-1.25"
"41.2","2019-11-21"," 9:17:00 AM","2019-11-21"," 9:19:00 AM","PE","11800","Buy","25","0.75","0.60","","-3.75"
"41.3","2019-11-21"," 9:17:00 AM","2019-11-21"," 11:56:00 AM","CE","12100","Sell","25","3.70","1.25","","61.25"
"41.4","2019-11-21"," 9:17:00 AM","2019-11-21"," 11:56:00 AM","PE","11900","Sell","25","5.90","1.95","","98.75"
"42","2019-11-28"," 9:17:00 AM","2019-11-28"," 12:52:00 PM","","","","","","","14.01","91.25"
"42.1","2019-11-28"," 9:17:00 AM","2019-11-28"," 9:18:00 AM","CE","12300","Buy","25","0.20","0.15","","-1.25"
"42.2","2019-11-28"," 9:17:00 AM","2019-11-28"," 9:40:00 AM","PE","11900","Buy","25","0.45","0.35","","-2.50"
